X_km,Y_km,Z_km
-1.435355561733142436e+08,-1.657936314417234361e+08,-7.222554227517083287e+07
-1.420436017756235600e+08,-1.667540319100631177e+08,-7.270344278982742131e+07
-1.405401248914076984e+08,-1.677009053513792455e+08,-7.317544562637725472e+07
-1.390252348507350981e+08,-1.686341598798990846e+08,-7.364150591782917082e+07
-1.374990415587887168e+08,-1.695537037908426225e+08,-7.410157886532065272e+07
-1.359616553623110056e+08,-1.704594456603778899e+08,-7.455561978729967773e+07
-1.344131876060163379e+08,-1.713512939515240192e+08,-7.500358392484943569e+07
-1.328537498793070763e+08,-1.722291575605543852e+08,-7.544542671113424003e+07
-1.312834545105743110e+08,-1.730929454667192101e+08,-7.588110359837640822e+07
-1.297024144662961811e+08,-1.739425668108519018e+08,-7.631057009642790258e+07
-1.281107433642871380e+08,-1.747779308920249045e+08,-7.673378177089989185e+07
-1.265085554871667624e+08,-1.755989471643929482e+08,-7.715069424137258530e+07
-1.248959657960382551e+08,-1.764055252342337370e+08,-7.756126317968995869e+07
-1.232730899443929493e+08,-1.771975748571778238e+08,-7.796544430833551288e+07
-1.216400442922330499e+08,-1.779750059356391430e+08,-7.836319339889408648e+07
-1.199969459204151481e+08,-1.787377285164488554e+08,-7.875446627060118318e+07
-1.183439126452258527e+08,-1.794856527886886895e+08,-7.913921878897766769e+07
-1.166810630331759751e+08,-1.802186890817382038e+08,-7.951740686455689371e+07
-1.150085164160331488e+08,-1.809367478635280430e+08,-7.988898645169988275e+07
-1.133263929060796350e+08,-1.816397397390125394e+08,-8.025391354750528932e+07
-1.116348134116100818e+08,-1.823275754488589168e+08,-8.061214419081212580e+07
-1.099338996526599526e+08,-1.830001658683625460e+08,-8.096363446130056679e+07
-1.082237741769798994e+08,-1.836574220065854788e+08,-8.130834047868807614e+07
-1.065045603762446940e+08,-1.842992550057327747e+08,-8.164621840202882886e+07
-1.047763825025114417e+08,-1.849255761407587826e+08,-8.197722442911185324e+07
-1.030393656849191487e+08,-1.855362968192216456e+08,-8.230131479596659541e+07
-1.012936359466426224e+08,-1.861313285813777745e+08,-8.261844577647197247e+07
