aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.21,31.89,1.37,5010.38,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.12,31.83,1.44,5035.07,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-0.03,31.77,1.5,5066.84,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.05,31.71,1.57,5025.66,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.14,31.66,1.58,5081.48,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.23,31.6,1.63,5083.27,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.32,31.54,1.73,5099.09,5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.41,31.48,1.74,5067.1,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.5,31.41,1.85,5054.23,4.9,0.4,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.59,31.35,1.81,5109.11,5,0.4,,,,,,,,,,,,,,,,,,,,,,,
Snippet 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
